question_id,question,gold_answer,ner_tag,level_A,n_correct_A,level_B,n_correct_B,agreement
bt_1031,What was the name of the Prime Minister in the T.V. series Yes Prime Minister,Jim Hacker,PERSON,strong-knows,3,strong-knows,3,True
bt_1043,Which English public school shares it's name with a farm implement,Harrow,ORG,weak-knows,2,guess,1,False
bt_1101,Who directed the Death Wish series of films,Michael Winner,PERSON,strong-knows,3,strong-knows,3,True
bt_1591,What was the name of Catherine Zeta Jones character in The Darling Buds of May,Mariette,PERSON,strong-knows,3,strong-knows,3,True
bt_1690,In the year 2000 Charity Shield match which player was sent off,Roy Keane,PERSON,doesn't-know,0,doesn't-know,0,True
bt_2036,Which cup competition was founded by Charles William Alcock in the eighteen seventies,The FA Cup,EVENT,strong-knows,3,strong-knows,3,True
bt_2064,Where was the Titanic heading for on her maiden voyage,New York,GPE,strong-knows,3,strong-knows,3,True
bt_212,"First I was afraid I was petrified, are the first words of which song",I Will Survive,WORK_OF_ART,strong-knows,3,strong-knows,3,True
bt_2189,What was the name of Joan Jett's backing group,Blackhearts,ORG,strong-knows,3,strong-knows,3,True
bt_2287,"In photography, what sort of lens enables a speedy transition from long shots to close-ups",Zoom lens,PRODUCT,strong-knows,3,strong-knows,3,True
bt_2325,On which river is the city of Ely,The Ouse,LOC,strong-knows,3,strong-knows,3,True
bt_239,Which Oscar winning song came from the film Pocahontas,Colours of the Wind,WORK_OF_ART,strong-knows,3,strong-knows,3,True
bt_2434,In which country was Rita Ora born,Kosovo,GPE,strong-knows,3,strong-knows,3,True
bt_2446,Arundel Castle is the stately home of which duke,Duke of Norfolk,PERSON,strong-knows,3,strong-knows,3,True
bt_2615,Which manager bought Trevor Francis thereby turning him into the first million pound footballer,Brian Clough,PERSON,guess,1,doesn't-know,0,False
bt_269,In which 70’s sitcom did we hear about the Tooting Popular Front,Citizen Smith,WORK_OF_ART,strong-knows,3,strong-knows,3,True
bt_2771,Who had a 1992 hit with You're The One for Me Fatty,Morrissey,PERSON,strong-knows,3,strong-knows,3,True
bt_284,Which musical instrument did the Lemon Pipers sing about,Green Tambourine,WORK_OF_ART,strong-knows,3,strong-knows,3,True
bt_3044,Which group had a hit album titled Breakfast In America,Supertramp,ORG,strong-knows,3,strong-knows,3,True
bt_3256,What aid to baking was invented by Henry Jones of Bristol in 1845,Self-raising flour,PRODUCT,doesn't-know,0,weak-knows,2,False
bt_3368,During a penalty shoot out in soccer where should the non participating players be,In the centre circle,LOC,doesn't-know,0,doesn't-know,0,True
bt_379,What was the former name of The Home Guard,Local Defence Volunteers,ORG,strong-knows,3,strong-knows,3,True
bt_3792,What is the capital of Venezuela,Caracas,GPE,strong-knows,3,strong-knows,3,True
bt_394,What is the Muslim equivalent of the Red Cross,The Red Crescent,ORG,strong-knows,3,strong-knows,3,True
bt_3990,With which artist painted Flatford Mill,John Constable,PERSON,strong-knows,3,strong-knows,3,True
bt_4011,Who was the last woman hanged in Britain,Ruth Ellis,PERSON,strong-knows,3,strong-knows,3,True
bt_426,High Force is in County Durham but what is it,A waterfall,LOC,strong-knows,3,strong-knows,3,True
bt_4324,What is the state capital of Alabama,Montgomery,GPE,strong-knows,3,strong-knows,3,True
bt_4498,In which stretch of water did the Mary Rose actually sink,The Solent,LOC,strong-knows,3,strong-knows,3,True
bt_581,Who was the actor who played Ben the head of the Cartwright family in Bonanza,Lorne Greene,PERSON,strong-knows,3,strong-knows,3,True
bt_61,Which Canadian sang Miss Chatelaine in 1993,K.D. Lang,PERSON,strong-knows,3,strong-knows,3,True
bt_671,What award is given for a wound in the American forces,Purple Heart,WORK_OF_ART,strong-knows,3,strong-knows,3,True
bt_682,Which famous huntsman who was known for wearing a grey coat was buried in Caldbeck cemetery,John Peel,PERSON,strong-knows,3,strong-knows,3,True
bt_805,"Born in 1970, which female has been a presenter on the TV shows 'The Big Breakfast' and 'Live & Kicking'",Zoë Ball,PERSON,guess,1,guess,1,True
bt_860,Who on TV is the Naked Chef,Jamie Oliver,PERSON,strong-knows,3,strong-knows,3,True
dpql_1068,Which American resort is nicknamed 'Sin City'?,Las Vegas,GPE,strong-knows,3,strong-knows,3,True
dpql_1111,Which 1949 film was set on the Scottish island of Todday?,Whisky Galore,WORK_OF_ART,strong-knows,3,strong-knows,3,True
dpql_1185,Whose head was stuck on the roof of parliament after his body had been exhumed?,Oliver Cromwell,PERSON,strong-knows,3,strong-knows,3,True
dpql_1404,Which commission was set up to investigate the assassination of JFK?,Warren Commission,ORG,strong-knows,3,strong-knows,3,True
dpql_1439,Whose 1960 recording “The Twist” spawned a craze for the dance of that name?,Chubby Checker,PERSON,strong-knows,3,strong-knows,3,True
dpql_1514,Where has Baroness Royall of Blaisdon led the opposition since May 2010?,House of LORDS,ORG,strong-knows,3,strong-knows,3,True
dpql_1631,"At the Oscar ceremony in 2004, Sofia Coppola was up for 'Best Director' for which film?",LOST IN TRANSLATION,WORK_OF_ART,strong-knows,3,strong-knows,3,True
dpql_1669,Which is the only Semitic language that is an official language of the EU?,Maltese,LANGUAGE,strong-knows,3,strong-knows,3,True
dpql_1695,Which canal separates the Peloponnese peninsula from the Greek mainland?,Corinth Canal,FAC,strong-knows,3,strong-knows,3,True
dpql_1728,Which Parliamentary Act was abbreviated to DORA?,Defence of the Realm Act,LAW,strong-knows,3,strong-knows,3,True
dpql_1804,After what is Fleet Street in London named?,The river Fleet,LOC,strong-knows,3,strong-knows,3,True
dpql_2139,Which “Thom” is Radiohead’s lead singer and principal songwriter?,Thom Yorke,PERSON,strong-knows,3,strong-knows,3,True
dpql_224,Which Michael Frayn play features a ‘play within a play’ entitled Nothing On?,Noises Off,WORK_OF_ART,strong-knows,3,strong-knows,3,True
dpql_2372,Pike Bishop led which gang of film desperados?,The Wild Bunch,WORK_OF_ART,strong-knows,3,strong-knows,3,True
dpql_2538,What shape is the pasta known as ‘conchiglie’?,Sea Shells,PRODUCT,strong-knows,3,strong-knows,3,True
dpql_2551,Which American called the Daily Mail ‘the worst kind of tabloid’?,George Clooney,PERSON,doesn't-know,0,doesn't-know,0,True
dpql_2745,What is the name of the dog in the Punch and Judy shows?,TOBY,PERSON,strong-knows,3,strong-knows,3,True
dpql_2848,What is the pen name of the author who created the character Fu Manchu?,Sax Rohmer,PERSON,strong-knows,3,strong-knows,3,True
dpql_2986,"Sidney Poitier, Eartha Kitt, Val Doonican and Ferenc Puskas were all born in what year?",1927,DATE,strong-knows,3,strong-knows,3,True
dpql_3061,Which Scottish mathematician discovered logarithms?,John NAPIER,PERSON,strong-knows,3,strong-knows,3,True
dpql_3121,Curacao was a colony of which country?,The Netherlands,GPE,strong-knows,3,strong-knows,3,True
dpql_3210,"When people talk about LGBT rights, what does the ‘T’ represent?",TRANSGENDER,NORP,strong-knows,3,strong-knows,3,True
dpql_3227,Harvey was one of Dr. Crippen’s first names. What was the other?,HAWLEY,PERSON,strong-knows,3,strong-knows,3,True
dpql_3492,"Weighing-in at up 48 stone, who wrestled under the ring-name Giant Haystacks?",Martin Ruane,PERSON,strong-knows,3,strong-knows,3,True
dpql_3549,"In ‘Othello’, what is the name of Iago’s wife?",EMILIA,PERSON,strong-knows,3,strong-knows,3,True
dpql_3578,Joe Gargery is a character in which Charles Dickens novel?,Great Expectations,WORK_OF_ART,strong-knows,3,strong-knows,3,True
dpql_3627,What literally means ‘submission to God’ in Arabic?,Islam,NORP,strong-knows,3,strong-knows,3,True
dpql_381,In the computer world what company is nicknamed Big Blue?,IBM,ORG,strong-knows,3,strong-knows,3,True
dpql_383,Which edible nut is found on a variety of Hickory Tree?,Pecan,PRODUCT,doesn't-know,0,doesn't-know,0,True
dpql_3962,By what name was the African state of Namibia previously known?,SOUTH-WEST AFRICA,GPE,strong-knows,3,strong-knows,3,True
dpql_4156,"What surname connects equestrians Michael, Ellen, William, Robert and John?",WHITAKER,PERSON,doesn't-know,0,weak-knows,2,False
dpql_4205,Which is the most northerly county in the Republic?,Donegal,GPE,strong-knows,3,strong-knows,3,True
dpql_4292,Who was the first presenter of Room 101 when it opened in 1994?,Nick Hancock,PERSON,doesn't-know,0,doesn't-know,0,True
dpql_452,Anatomy. Where are the intercostal muscles situated?,Between the RIBS,LOC,strong-knows,3,strong-knows,3,True
dpql_4590,Plato and Xenophon were both pupils of which Greek philosopher?,Socrates,PERSON,strong-knows,3,strong-knows,3,True
dpql_4634,"Whose 1977-79 albums, Low, “Heroes” and Lodger, are known as his Berlin Trilogy?",David Bowie,PERSON,strong-knows,3,strong-knows,3,True
dpql_4711,In which film does Andie MacDowell try to fiddle a US stay for Gerard Depardieu?,Green Card,WORK_OF_ART,strong-knows,3,strong-knows,3,True
dpql_4754,Which rock star is known as 'The Boss'?,Bruce Springsteen,PERSON,strong-knows,3,strong-knows,3,True
dpql_4760,The nickname for Dumfries became the name of which Scottish football club?,Queen of the South,ORG,strong-knows,3,strong-knows,3,True
dpql_4846,'Indian Love Call' is a song from which 1924 operetta?,Rose-Marie,WORK_OF_ART,strong-knows,3,strong-knows,3,True
dpql_4889,Which explorer was cast adrift by his crew in 1611 and never seen again?,Henry Hudson,PERSON,strong-knows,3,strong-knows,3,True
dpql_4977,What used to be known as the Blessed or Fortunate Isles?,Canary Islands,LOC,weak-knows,2,weak-knows,2,True
dpql_5011,Conakry is the capital of which African country?,Guinea,GPE,strong-knows,3,strong-knows,3,True
dpql_5071,Which song was a UK number one for Terry Jacks in 1974 and for Westlife in 1999?,Seasons in the Sun,WORK_OF_ART,strong-knows,3,strong-knows,3,True
dpql_5145,‘When Will You Marry?’ became the world’s most expensive work of art when it was sold,Paul GAUGUIN,PERSON,strong-knows,3,strong-knows,3,True
dpql_5441,In which classic novel does the character Queequeg appear?,Moby Dick,WORK_OF_ART,strong-knows,3,strong-knows,3,True
dpql_5460,Who was the question master in the original series of TV’s Going For Gold?,Henry Kelly,PERSON,strong-knows,3,strong-knows,3,True
dpql_5553,In which county will you find Fountains abbey and Studley Water Gardens?,North Yorkshire,GPE,strong-knows,3,strong-knows,3,True
dpql_5685,Which aperitif is named for the Paris chemist who created it in 1846?,DuBonnet,PRODUCT,guess,1,doesn't-know,0,False
dpql_5750,"Who presented the 1980 blockbuster documentary series, Cosmos: A Personal Voyage?",Carl Sagan,PERSON,strong-knows,3,strong-knows,3,True
dpql_5802,"On the 4th, which half of a famous musical act died in California, aged 74?",Phil EVERLY,PERSON,doesn't-know,0,doesn't-know,0,True
dpql_5808,"Which golf course has holes called Silver Tassie, Blink Bonnie and Wee Bogle?",GLENEAGLES,FAC,doesn't-know,0,guess,1,False
dpql_6028,"Which actor died in September 1955 after a collision in Cholame, California?",James Dean,PERSON,strong-knows,3,strong-knows,3,True
dpql_6116,The Wasp Factory was the debut novel of which author who died in 2013?,Iain Banks,PERSON,strong-knows,3,strong-knows,3,True
dpql_6289,"Which female politician and aristocrat said ‘I married beneath me, all women do’?",Nancy Astor,PERSON,strong-knows,3,strong-knows,3,True
dpql_788,"The TV characters Jack Ford, Trevor Chaplin and Jack Halford link which actor?",James Bolam,PERSON,doesn't-know,0,doesn't-know,0,True
dpql_825,Which actress featured in both autumn dramas River and Unforgotten?,Nicola Walker,PERSON,strong-knows,3,strong-knows,3,True
dpql_827,Sofia Helin returned on BBC4 in the third series of which Scandinavian drama?,The Bridge,WORK_OF_ART,strong-knows,3,strong-knows,3,True
jp_1126,Who was the leader of the Medellin cartel in the 1980's?,Pablo Escobar,PERSON,strong-knows,3,strong-knows,3,True
jp_1196,Who shot Greedo inside the cantina?,Han Solo,PERSON,strong-knows,3,strong-knows,3,True
jp_1310,What major American city has an average elevation of 2 feet below sea level?,New Orleans,GPE,strong-knows,3,strong-knows,3,True
jp_1371,What are fairy rings made of?,Mushrooms,PRODUCT,strong-knows,3,strong-knows,3,True
jp_1378,"""What country's """"Kingdom Tower"""" is planned to be more than a kilometer tall when it is completed in 2018?""",Saudi Arabia,GPE,strong-knows,3,strong-knows,3,True
jp_1386,Who is also known as Jove?,Jupiter,PERSON,strong-knows,3,strong-knows,3,True
jp_1395,What city's catacombs contain the bones of over six million people?,Paris,GPE,strong-knows,3,strong-knows,3,True
jp_1502,Flanders is part of what country?,Belgium,GPE,strong-knows,3,strong-knows,3,True
jp_1511,What is either a type of wood or an African-American magazine?,Ebony,PRODUCT,strong-knows,3,strong-knows,3,True
jp_1567,What is stevia a substitute for?,Sugar,PRODUCT,strong-knows,3,strong-knows,3,True
jp_1742,What company purchased Skype in 2011?,Microsoft,ORG,strong-knows,3,strong-knows,3,True
jp_1864,What does Sally sell by the sea shore?,Sea Shells,PRODUCT,guess,1,strong-knows,3,False
jp_1890,"In legend, what city was founded by Romulus and Remus?",Rome,GPE,strong-knows,3,strong-knows,3,True
jp_2221,Who is the only black man to win a singles title at Wimbledon?,Arthur Ashe,PERSON,strong-knows,3,strong-knows,3,True
jp_2566,What did Peter Piper pick a peck of?,Pickled Peppers,PRODUCT,strong-knows,3,strong-knows,3,True
jp_2608,"""What was the name of Peter, Paul and Mary's """"magic"""" dragon?""",Puff,PERSON,strong-knows,3,strong-knows,3,True
jp_2647,Toussaint Louverture was the founding father of what country?,Haiti,GPE,strong-knows,3,strong-knows,3,True
jp_2883,What is the highest grossing movie of all time?,Avatar,WORK_OF_ART,strong-knows,3,strong-knows,3,True
jp_2919,Who invented the lightning rod?,Benjamin Franklin,PERSON,strong-knows,3,strong-knows,3,True
jp_2989,What fictional doctor talks to animals?,Dr. Dolittle,PERSON,strong-knows,3,strong-knows,3,True
jp_3059,Who betrayed Jesus for 30 pieces of silver?,Judas Iscariot,PERSON,strong-knows,3,strong-knows,3,True
jp_3082,"""Who wrote """"Leaves of Grass""""?""",Walt Whitman,PERSON,strong-knows,3,strong-knows,3,True
jp_3130,"""What """"unsinkable"""" ship sank in April 1912?""",RMS Titanic,PRODUCT,strong-knows,3,strong-knows,3,True
jp_3165,What is the most common surname in Korea?,Kim,PERSON,strong-knows,3,strong-knows,3,True
jp_3236,What product is the Singer company well-known for making?,Sewing Machine,PRODUCT,strong-knows,3,strong-knows,3,True
jp_3388,What city had the largest library in the ancient world?,Alexandria,GPE,strong-knows,3,strong-knows,3,True
jp_3390,What did Antonio Stradivari make?,Violins,PRODUCT,strong-knows,3,strong-knows,3,True
jp_3580,What island is shared by Haiti and the Dominican Republic?,Hispaniola,LOC,strong-knows,3,strong-knows,3,True
jp_3704,What is Australia's largest island?,Tasmania,GPE,strong-knows,3,strong-knows,3,True
jp_379,"What 2007 movie earned Eddie Murphy the Golden Raspberry for Worst Actor, Worst Supporting Actor, and Worst Supporting Actress?",Norbit,WORK_OF_ART,strong-knows,3,strong-knows,3,True
jp_4099,"""The song """"Sunday Bloody Sunday"""" was about a massacre on which island?""",Ireland,GPE,strong-knows,3,strong-knows,3,True
jp_4103,Who did June Carter marry?,Johnny Cash,PERSON,strong-knows,3,strong-knows,3,True
jp_4364,"What Detroit-area stadium was sold in 2009 for just $583,000?",The Silverdome,FAC,weak-knows,2,strong-knows,3,False
jp_4425,"""What diminutive actor stars as Frank Reynolds in """"It's Alway Sunny in Philadelphia""""?""",Danny DeVito,PERSON,strong-knows,3,strong-knows,3,True
jp_478,What building is located at 1600 Pennsylvania Avenue?,White House,FAC,strong-knows,3,strong-knows,3,True
jp_52,What notorious outlaw was shot in the back by the coward Robert Ford?,Jesse James,PERSON,strong-knows,3,strong-knows,3,True
jp_657,What did Tikki Tikki Tembo fall into?,a Well,LOC,strong-knows,3,strong-knows,3,True
jp_658,"What fictional creatures eat 7 meals a day, including second breakfast and elevenses?",Hobbits,NORP,strong-knows,3,strong-knows,3,True
jp_686,In what city would you find Copacabana beach?,Rio de Janeiro,GPE,strong-knows,3,strong-knows,3,True
jp_766,What movie featured a talking candelabra named Lumière?,Beauty and the Beast,WORK_OF_ART,strong-knows,3,strong-knows,3,True
jp_784,"""In what city were travelers first asked to """"mind the gap""""?""",London,GPE,strong-knows,3,strong-knows,3,True
jp_942,Bohemia is a region of what country?,Czech Republic,GPE,strong-knows,3,strong-knows,3,True
odql_10031,"What was the first name of Mr. Ferrari, the founder of the car manufacturing company?",ENZO,PERSON,strong-knows,3,strong-knows,3,True
odql_10039,Which capital city is known as Beograd by its inhabitants?,BELGRADE,GPE,strong-knows,3,strong-knows,3,True
odql_10056,Which capital city is known as Praha by its inhabitants?,PRAGUE,GPE,strong-knows,3,strong-knows,3,True
odql_10134,The Habit of Art is a play by Alan Bennett about a fictional meeting between Benjamin Britten and which poet?,W H AUDEN,PERSON,strong-knows,3,strong-knows,3,True
odql_10257,Singer Eleonara Fagan was better known by what stage name?,BILLIE HOLLIDAY,PERSON,strong-knows,3,strong-knows,3,True
odql_10315,"For which group did Jimmy Page, and John Paul Jones play before they formed 'Led Zepplin'?",'THE YARDBIRDS'.,ORG,strong-knows,3,strong-knows,3,True
odql_10363,Who played the part of 'Jack Sugden' in 'Emmerdale' for 28 years? He died in July of this year (2008).,CLIVE HORNBY,PERSON,strong-knows,3,strong-knows,3,True
odql_10443,"On this day (4th Aug) in 2002, the schoolgirls Jessica Chapman and Holly Wells went missing from which town in Cambridgeshire?",SOHAM,GPE,strong-knows,3,strong-knows,3,True
odql_10500,In which country do the football teams 'Helsingborgs' and 'GIF Sundsvall' play?,SWEDEN,GPE,strong-knows,3,strong-knows,3,True
odql_10746,Who wrote the 1951 novel ‘The Caine Mutiny’?,HERMAN WOUK,PERSON,strong-knows,3,strong-knows,3,True
odql_10771,"""Who starred in and directed the 2004 movie """"Beyond the Sea""""?""",Kevin Spacey,PERSON,strong-knows,3,strong-knows,3,True
odql_1084,The 'Yid Army' are/were a gang of football hooligans who supported which London club?,TOTTENHAM HOTSPUR,ORG,strong-knows,3,strong-knows,3,True
odql_10945,On the banks of which river does the town of Kidderminster stand?,RIVER STOUR,LOC,strong-knows,3,strong-knows,3,True
odql_1097,Who was hanged in 1962 for the murder of Michael Gregson?,JAMES HANRATTY,PERSON,guess,1,weak-knows,2,False
odql_10979,"In motoring terms, what can be an SU, a Weber, or a Zenith?",CARBURETTOR,PRODUCT,strong-knows,3,strong-knows,3,True
odql_11035,What was the pseudonym of author John Griffith Chaney?,JACK LONDON,PERSON,strong-knows,3,strong-knows,3,True
odql_11052,The sweet red wine 'Commandaria' is produced on which island?,CYPRUS,GPE,strong-knows,3,strong-knows,3,True
odql_11128,"'The Playboy Riots' occurred during and following the opening in 1907 of 'The Playboy Of The Western World' by J.M. Synge, at which Dublin theatre?",ABBEY THEATRE,FAC,strong-knows,3,strong-knows,3,True
odql_11163,In which German city is the newspaper 'Suddeutsche Zeitung' published?,MUNICH,GPE,strong-knows,3,strong-knows,3,True
odql_11337,"""What was the name of the dog in the children’s TV series """"The Herbs""""?""",Dill,PERSON,doesn't-know,0,doesn't-know,0,True
odql_11538,In which prison was 'Amy' born in the novel 'Little Dorrit'?,MARSHALSEA,FAC,strong-knows,3,strong-knows,3,True
odql_11795,Caroline of Brunswick was the queen of which British king?,GEORGE IV,PERSON,strong-knows,3,strong-knows,3,True
odql_11810,'Original Pirate Material' was the 2002 debut album of which UK act?,'THE STREETS',ORG,strong-knows,3,strong-knows,3,True
odql_1190,The Kalahari Desert lies chiefly in which country?,Botswana,GPE,strong-knows,3,strong-knows,3,True
odql_1191,In which county is Dunstanburgh Castle?,Northumberland,GPE,strong-knows,3,strong-knows,3,True
odql_11948,In which year of the 1940's did Al Capone die?,1947,DATE,strong-knows,3,strong-knows,3,True
odql_11994,In which year in the 1930's were Bonnie and Clyde killed?,1934,DATE,strong-knows,3,strong-knows,3,True
odql_12146,The Luas Tram system serves which European capital city?,Dublin,GPE,strong-knows,3,strong-knows,3,True
odql_12205,"""Which pop group originally called """"Garden Wall"""" changed their name when it was said they were """"Born"""" their first top ten hit was """"Follow you Follow me"""" in 1978?""",Genesis,ORG,strong-knows,3,strong-knows,3,True
odql_12228,Matt Busby played for Manchester City from 1928 to 1936. Which club did he play for from 1936 to 1941?,Liverpool,ORG,strong-knows,3,weak-knows,2,False
odql_12404,"""Where in the human body would you find the """"Island of Reil""""?""",The Brain,LOC,strong-knows,3,strong-knows,3,True
odql_12507,In Greek Myth which legendary monster fathered both the Chimera and Cerberus?,Typhon,PERSON,strong-knows,3,strong-knows,3,True
odql_12554,Which country has the international car registration code HKJ?,Jordan,GPE,strong-knows,3,strong-knows,3,True
odql_12607,"Prince Rupert of the Rhine, who fought in the Thirty Years’ War, was nephew of which English King, who made him Duke of Cumberland?",CHARLES I,PERSON,strong-knows,3,strong-knows,3,True
odql_12694,What is the capital city of Colombia?,Bogota,GPE,strong-knows,3,strong-knows,3,True
odql_12761,On what would you find a Cowcatcher?,A Train,PRODUCT,strong-knows,3,strong-knows,3,True
odql_12783,In the 1968 film Chitty Chitty Bang Bang who buys the car from garage owner Mr Coggins and rebuilds it?,Caractacus Potts,PERSON,strong-knows,3,strong-knows,3,True
odql_12827,Who wrote the play An Inspector Calls?,J B Priestley,PERSON,strong-knows,3,strong-knows,3,True
odql_12886,In which Spanish city is the Alhambra Palace located?,Granada,GPE,strong-knows,3,strong-knows,3,True
odql_12923,What is the most famous work of the architect James Hoban?,The Whitehouse,FAC,strong-knows,3,strong-knows,3,True
odql_13058,"What was the name of the US space shuttle that exploded on take-off in 1986, killing all 7 crew members?",'CHALLENGER',PRODUCT,strong-knows,3,strong-knows,3,True
